Country,League,Date,Time,Home,Away,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Mexico,Liga MX,03/07/2023,02:05,Santos Laguna,Queretaro,1.66,4.21,5.29,1.67,4.3,5.5,1.63,4.04,4.9
Mexico,Liga MX,04/07/2023,03:00,Club Leon,Guadalajara Chivas,2.07,3.4,3.9,2.11,3.48,3.94,2.03,3.33,3.65
Norway,Eliteserien,01/07/2023,17:00,Valerenga,Viking,2.35,3.85,2.92,2.38,3.85,2.92,2.29,3.67,2.82
Norway,Eliteserien,02/07/2023,16:00,Aalesund,Rosenborg,3.38,3.55,2.22,3.4,3.61,2.24,3.22,3.43,2.16
Norway,Eliteserien,02/07/2023,16:00,Brann,Ham-Kam,1.25,6.8,11.09,1.27,7.5,12,1.24,6.4,10.22
Norway,Eliteserien,02/07/2023,16:00,Haugesund,Odd,2.5,3.39,3,2.5,3.5,3,2.41,3.29,2.88
Norway,Eliteserien,02/07/2023,16:00,Lillestrom,Tromso,1.65,4.17,5.41,1.71,4.2,5.5,1.63,3.94,5
Norway,Eliteserien,02/07/2023,16:00,Sarpsborg 08,Sandefjord,1.45,5.2,6.62,1.47,5.2,7,1.43,4.86,6.32
Norway,Eliteserien,02/07/2023,18:15,Bodo/Glimt,Molde,1.76,4.39,4.27,1.82,4.4,4.5,1.74,4.11,4.05
Norway,Eliteserien,03/07/2023,18:00,Stabaek,Stromsgodset,2.12,3.64,3.47,2.15,3.87,3.47,2.08,3.57,3.26
Sweden,Allsvenskan,01/07/2023,14:00,Brommapojkarna,AIK,3,3.47,2.47,3.02,3.5,2.55,2.85,3.34,2.44
Sweden,Allsvenskan,01/07/2023,14:00,Degerfors,Varnamo,2.35,3.52,3.14,2.38,3.55,3.17,2.31,3.4,2.99
Sweden,Allsvenskan,01/07/2023,16:30,Malmo FF,Sirius,1.31,5.98,10.07,1.33,6.2,13,1.29,5.53,9.47
Sweden,Allsvenskan,02/07/2023,14:00,Halmstad,Goteborg,2.73,3.32,2.78,2.74,3.36,2.8,2.63,3.22,2.69
Sweden,Allsvenskan,02/07/2023,14:00,Norrkoping,Hacken,4.56,4.16,1.75,4.75,4.2,1.76,4.36,3.96,1.72
Sweden,Allsvenskan,02/07/2023,16:30,Djurgarden,Varberg,1.19,7.14,17.04,1.21,7.5,19,1.18,6.7,15.89
Sweden,Allsvenskan,03/07/2023,18:00,Elfsborg,Hammarby,1.63,4.21,5.4,1.67,4.3,5.5,1.62,4.07,5.04
Sweden,Allsvenskan,03/07/2023,18:00,Mjallby,Kalmar,2.71,3.14,2.9,2.71,3.25,2.95,2.62,3.07,2.8
USA,MLS,02/07/2023,00:30,CF Montreal,New York City,2.37,3.57,3.07,2.39,3.61,3.1,2.29,3.44,2.99
USA,MLS,02/07/2023,00:30,Columbus Crew,New York Red Bulls,1.98,3.64,4.01,2,3.68,4.1,1.95,3.5,3.8
USA,MLS,02/07/2023,00:30,FC Cincinnati,New England Revolution,2.11,3.68,3.54,2.19,3.75,3.55,2.07,3.6,3.33
USA,MLS,02/07/2023,00:30,Inter Miami,Austin FC,2.47,3.73,2.82,2.5,3.75,2.85,2.43,3.53,2.73
USA,MLS,02/07/2023,00:30,Orlando City,Chicago Fire,1.81,3.95,4.47,1.85,4,4.5,1.8,3.76,4.17
USA,MLS,02/07/2023,00:30,Toronto FC,Real Salt Lake,2.1,3.9,3.38,2.21,3.94,3.5,2.08,3.67,3.26
USA,MLS,02/07/2023,01:30,FC Dallas,Los Angeles FC,2.78,3.42,2.66,2.79,3.47,2.67,2.71,3.34,2.54
USA,MLS,02/07/2023,01:30,Minnesota United,Portland Timbers,2.09,3.69,3.58,2.17,3.75,3.62,2.06,3.56,3.39
USA,MLS,02/07/2023,01:30,Nashville SC,DC United,1.92,3.84,4.03,1.93,3.89,4.33,1.87,3.67,3.9
USA,MLS,02/07/2023,01:30,Sporting Kansas City,Vancouver Whitecaps,1.93,3.92,3.88,1.99,3.97,3.93,1.92,3.73,3.66
USA,MLS,02/07/2023,01:30,St. Louis City,Colorado Rapids,1.91,3.93,3.97,1.92,4,4.02,1.86,3.74,3.86
USA,MLS,02/07/2023,03:30,San Jose Earthquakes,Los Angeles Galaxy,2.09,3.94,3.38,2.12,3.98,3.41,2.05,3.71,3.28
USA,MLS,02/07/2023,03:30,Seattle Sounders,Houston Dynamo,1.9,3.76,4.21,1.91,3.8,4.4,1.83,3.64,4.17
USA,MLS,02/07/2023,21:00,Atlanta Utd,Philadelphia Union,2.4,3.71,2.92,2.42,3.85,2.95,2.32,3.58,2.83
